Name,WHO Region,Cases - cumulative total,Cases - cumulative total per 100000 population,Cases - newly reported in last 7 days,Cases - newly reported in last 7 days per 100000 population,Cases - newly reported in last 24 hours,Deaths - cumulative total,Deaths - cumulative total per 100000 population,Deaths - newly reported in last 7 days,Deaths - newly reported in last 7 days per 100000 population,Deaths - newly reported in last 24 hours
Global,,513955910,6593.793685429552,3640352,46.70387004663661,519522,6249700,80.1804816211357,13700,0.17576405238804402,2057,
United States of America,Americas,80854843,24427.249,432264,130.592,96199,989435,298.921,3900,1.178,840
India,South-East Asia,43094938,3122.812,22762,1.649,3545,524002,37.971,249,0.018,27
Brazil,Americas,30502501,14350.106,103497,48.691,20072,663759,312.27,648,0.305,65
France,Europe,28012023,43069.341,291524,448.227,42203,143249,220.25,778,1.196,122
Germany,Europe,25215210,30318.874,460700,553.948,57257,136339,163.935,76,0.091,5
The United Kingdom,Europe,22102987,32558.975,70172,103.367,7406,175984,259.235,684,1.008,20
Russian Federation,Europe,18216719,12482.808,41728,28.594,5541,376696,258.127,969,0.664,136
Republic of Korea,Western Pacific,17464782,34064.872,270190,527.003,26714,23206,45.263,482,0.94,48
Italy,Europe,16682626,27971.512,332838,558.065,48715,164179,275.276,935,1.568,138
Turkey,Europe,15038495,17830.995,10098,11.973,1253,98819,117.169,68,0.081,11
Spain,Europe,11953481,25254.217,120024,253.576,0,104668,221.133,455,0.961,0
Viet Nam,Western Pacific,10666751,10958.4,28119,28.888,4305,43049,44.226,12,0.012,2
Argentina,Americas,9083673,20098.501,11443,25.319,0,128653,284.657,111,0.246,0
Netherlands,Europe,8054728,46271.37,9286,53.345,0,22266,127.91,27,0.155,0
Japan,Western Pacific,8000280,6325.509,186431,147.404,21368,29726,23.503,220,0.174,18
Iran (Islamic Republic of),Eastern Mediterranean,7223828,8600.517,3426,4.079,0,141138,168.036,80,0.095,0
Australia,Western Pacific,6122957,24011.705,463491,1817.62,54842,7424,29.114,261,1.024,57
Colombia,Americas,6092667,11973.901,708,1.391,0,139797,274.743,12,0.024,0
Indonesia,South-East Asia,6047986,2211.139,1519,0.555,245,156357,57.164,117,0.043,17
Poland,Europe,5999517,15805.615,3843,10.124,608,116124,305.926,82,0.216,25
Mexico,Americas,5739680,4451.685,712,0.552,0,324334,251.553,3,0.002,0
Ukraine,Europe,5002870,11439.378,1151,2.632,0,108411,247.889,20,0.046,0
Malaysia,Western Pacific,4454113,13761.704,10795,33.353,1278,35569,109.896,33,0.102,2
Thailand,South-East Asia,4308319,6172.379,70258,100.656,7705,28976,41.513,576,0.825,62
Austria,Europe,4209424,47291.245,38756,435.409,5855,19766,222.063,61,0.685,5
Belgium,Europe,4088336,35481.513,24464,212.316,12,31552,273.831,99,0.859,1
Israel,Europe,4086666,47214.449,13731,158.638,461,10741,124.094,12,0.139,0
Portugal,Europe,3920167,38074.997,79003,767.324,13992,22397,217.533,127,1.233,15
Czechia,Europe,3911324,36575.148,7625,71.302,935,40203,375.942,47,0.44,5
South Africa,Africa,3818125,6437.716,37681,63.534,9757,100471,169.404,116,0.196,64
Canada,Americas,3771328,9992.35,35550,94.192,10067,39485,104.618,347,0.919,133
Philippines,Western Pacific,3686543,3364.215,1321,1.206,168,60439,55.155,172,0.157,0
Switzerland,Europe,3619040,41816.288,6792,78.478,0,13189,152.393,3,0.035,0
Chile,Americas,3569492,18672.601,15536,81.271,3309,57597,301.299,102,0.534,17
Peru,Americas,3567863,10820.935,4712,14.291,692,212891,645.675,113,0.343,14
Greece,Europe,3348756,31242.578,38794,361.933,5191,29315,273.497,242,2.258,31
Denmark,Europe,3120933,53598.833,6152,105.654,872,6218,106.788,83,1.425,11
Romania,Europe,2897528,14990.699,5555,28.739,685,65540,339.079,69,0.357,21
Sweden,Europe,2503090,24236.925,2159,20.905,381,18824,182.269,2,0.019,0
Iraq,Eastern Mediterranean,2325352,5781.223,505,1.256,0,25212,62.681,3,0.007,0
Serbia,Europe,2008740,28999.936,3668,52.954,597,16015,231.207,35,0.505,2
